time,power,apparPower,reacPower,PF,rmsVolt,rmsCur,label
6/18/2016 21:25,0.7,1.1,0.3,0.8069,234.4,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8399,234.49,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8111,234.54,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8386,234.47,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8552,234.26,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8475,234.25,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8335,234.22,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8527,234.15,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8233,234.1,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8268,234.09,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8424,234.15,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8309,234.21,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8268,234.22,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.822,234.2,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.845,234.15,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8475,234.25,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8335,234.26,0.0048,0
6/18/2016 21:25,0.7,0.7,0.3,0.8563,234.55,0.0048,0
6/18/2016 21:25,0.7,0.7,0.3,0.8602,234.65,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.839,234.88,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8377,234.86,0.0048,0
6/18/2016 21:25,0.7,0.7,0.3,0.8484,234.72,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8488,234.42,0.0048,0
6/18/2016 21:25,0.7,0.7,0.3,0.8576,234.34,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8169,234.22,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8501,234.24,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8514,234.25,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8463,234.42,0.0048,0
6/18/2016 21:25,0.7,0.7,0.3,0.8524,234.46,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8479,234.69,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8198,234.6,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8293,234.46,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8335,234.58,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8565,234.34,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8437,234.35,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8412,234.37,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8254,234.09,0.0052,0
6/18/2016 21:25,0.7,1.1,0.3,0.838,234.25,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8339,234.31,0.0052,0
6/18/2016 21:25,0.7,1.1,0.3,0.8219,234.25,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8603,234.09,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8313,234.62,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8403,234.73,0.0048,0
6/18/2016 21:25,0.7,1.1,0.3,0.8339,234.55,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8403,234.56,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8322,234.2,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.836,234.23,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8258,234.4,0.0048,0
6/18/2016 21:26,0.7,0.7,0.3,0.8869,234.26,0.0043,0
6/18/2016 21:26,0.7,1.1,0.3,0.8399,234.22,0.0048,0
6/18/2016 21:26,0.7,0.7,0.3,0.8717,234.11,0.0048,0
6/18/2016 21:26,0.7,0.7,0.3,0.8471,234.33,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8399,234.04,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8309,234.28,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8318,234.2,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8296,234.03,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8386,234.01,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8446,233.69,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8343,233.91,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8484,233.66,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8318,233.85,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8305,233.72,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8475,233.94,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8266,233.61,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8305,233.42,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8356,233.64,0.0048,0
6/18/2016 21:26,0.7,0.7,0.3,0.8542,233.32,0.0048,0
6/18/2016 21:26,0.7,0.7,0.3,0.8516,233.31,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8472,233.59,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8407,233.83,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8433,233.77,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8369,233.6,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8164,233.34,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.851,233.53,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8561,233.72,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8536,233.88,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8107,233.94,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8322,234.06,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8343,233.62,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.814,233.69,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8277,233.51,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.809,233.37,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8292,233.54,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8127,233.89,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.851,233.8,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8214,233.85,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8244,234.07,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8256,233.99,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.7837,233.86,0.0052,0
6/18/2016 21:26,0.7,1.1,0.3,0.8331,233.74,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8115,233.62,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8327,233.73,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8293,234.03,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8144,234.04,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8015,233.83,0.0048,0
6/18/2016 21:26,0.7,1.1,0.3,0.8215,233.5,0.0048,0
